Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Tax Year
602090,"8054EK 2 17,P18    SE-12-20-3-5    5,020 Sq. Feet",T,2,Residential,I  Individual,75300,250700,0,326000,114 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602100,"8054EK 2 P18,19    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,60900,75600,0,136500,116 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602110,"8054EK 2 19,20    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,85400,238400,0,323800,118 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602120,"8054EK 2 21    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,60900,171400,0,232300,120 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602130,"8054EK 2 22,23    SE-12-20-3-5    7,520 Sq. Feet",T,2,Residential,I  Individual,91300,30900,0,122200,122 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602140,"8054EK 2 23,24    SE-12-20-3-5    3,400 Sq. Feet",T,2,Residential,I  Individual,51300,87700,0,139000,124 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
602150,"8054EK 2 25-W27    SE-12-20-3-5    14,470 Sq. Feet",E,11,Institutional,I  Individual,105400,481000,0,586400,125 ROYAL AVE. N.W.,Land    NR - Non Residential,,2018
602160,"8054EK 2 27-29    SE-12-20-3-5    9,220 Sq. Feet",T,2,Residential,I  Individual,97100,127100,0,224200,115 ROYAL AVE. N.W.,Land    R - Residential,,2018
602170,"8054EK 2 29-31    SE-12-20-3-5    10,800 Sq. Feet",T,2,Residential,I  Individual,95800,225500,0,321300,113 ROYAL AVE. N.W.,Land    R - Residential,,2018
602180,"8054EK 2 31,32    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,89700,186400,0,276100,111 ROYAL AVE. N.W.,Land    R - Residential,,2018
602190,"8054EK 2 33,P34    SE-12-20-3-5    7,200 Sq. Feet",T,2,Residential,I  Individual,90200,114700,0,204900,109 ROYAL AVE. N.W.,Land    R - Residential,,2018
602200,"8054EK 2 34,35    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,89700,109400,0,199100,107 ROYAL AVE. N.W.,Land    R - Residential,,2018
602210,"8054EK 2 36    SE-12-20-3-5    4,750 Sq. Feet",T,2,Residential,I  Individual,72300,213700,0,286000,105 ROYAL AVE. N.W.,Land    R - Residential,,2018
603010,"7423DQ 3 1-5    SE-12-20-3-5    15,000 Sq. Feet",T,3,Commercial,I  Individual,97300,81000,0,178300,220 MAIN ST. N.W.,Land    NR - Non Residential,,2018
603030,"7423DQ 3 6,7    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,69700,20000,0,89700,210 MAIN ST. N.W.,Land    NR - Non Residential,,2018
603040,"7423DQ 3 8,9    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,86000,159500,0,245500,206 MAIN ST. N.W.,Land    NR - Non Residential,,2018
603050,"7423DQ 3 10,11    SE-12-20-3-5    6,000 Sq. Feet",T,3,Commercial,I  Individual,69700,280500,0,350200,202 MAIN STREET NORTH WEST,Land    NR - Non Residential,,2018
603060,"2229EW 3 12    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,87100,137900,0,225000,108 EDGAR AVE. N.W.,Land    R - Residential,,2018
603070,"2229EW 3 13    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,87100,106100,0,193200,110 EDGAR AVE. N.W.,Land    R - Residential,,2018
603080,"2229EW 3 14,15    SE-12-20-3-5    8,160 Sq. Feet",T,2,Residential,I  Individual,93500,176300,0,269800,114 EDGAR AVE. N.W.,Land    R - Residential,,2018
603090,"2229EW 3 16,17    SE-12-20-3-5    8,060 Sq. Feet",T,2,Residential,I  Individual,93100,160500,0,253600,118 EDGAR AVE. N.W.,Land    R - Residential,,2018
603100,"2229EW 3 18    SE-12-20-3-5    4,160 Sq. Feet",T,2,Residential,I  Individual,64300,74400,0,138700,120 EDGAR AVE. N.W.,Land    R - Residential,,2018
603110,"2229EW 3 19,P20    SE-12-20-3-5    7,560 Sq. Feet",T,2,Residential,I  Individual,91400,221300,0,312700,122 EDGAR AVE. N.W.,Land    R - Residential,,2018
603120,"2229EW 3 PT20    SE-12-20-3-5    6,300 Sq. Feet",T,2,Residential,I  Individual,87100,219200,0,306300,124 EDGAR AVE. N.W.,Land    R - Residential,,2018
603130,"2229EW 3 21    SE-12-20-3-5    7,060 Sq. Feet",T,2,Residential,I  Individual,89700,103100,0,192800,201 HUBERT ST. N.W.,Land    R - Residential,,2018
603140,"2229EW 3 22    SE-12-20-3-5    5,290 Sq. Feet",T,2,Residential,I  Individual,78200,120000,0,198200,121 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603150,"2229EW 3 23    SE-12-20-3-5    6,450 Sq. Feet",T,2,Residential,I  Individual,87600,259000,0,346600,119 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603160,"2229EW 3 24    SE-12-20-3-5    6,450 Sq. Feet",T,2,Residential,I  Individual,87600,119900,0,207500,117 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603170,"2229EW 3 25    SE-12-20-3-5    5,160 Sq. Feet",T,2,Residential,I  Individual,76800,120400,0,197200,115 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603175,"2229EW 3 25-27    SE-12-20-3-5    9,550 Sq. Feet",T,2,Residential,I  Individual,98300,42200,0,140500,113 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603190,"2229EW 3 28,29    SE-12-20-3-5    8,514 Sq. Feet",T,2,Residential,I  Individual,94700,104500,0,199200,109 FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603200,"2229EW 3 W.30    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,60400,154500,0,214900,107B FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603210,"2229EW 3 E.30    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,60400,154500,0,214900,107A FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603220,"2229EW 3 W31    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,60400,157400,0,217800,105B FRONTENAC AVE. N.W.,Land    R - Residential,,2018
603230,"2229EW 3 E31    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,60400,151300,0,211700,105A FRONTENAC AVE. N.W.,Land    R - Residential,,2018
604010,"7423DQ 4 1,2    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,92700,141700,0,234400,210 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604020,"7423DQ 4 3    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,60900,50400,0,111300,212 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604030,"7423DQ 4 4,P5    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,85400,119500,0,204900,214 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604040,"7423DQ 4 W5,6    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,85400,184800,0,270200,216 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604050,"7423DQ 4 7    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,60900,38300,0,99200,218 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604060,"7423DQ 4 8    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,60900,40800,0,101700,220 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604070,"7423DQ 4 9,10    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,92700,82100,0,174800,222 SUNSET BLVD. NW,Land    R - Residential,,2018
604080,"7423DQ 4 11-12    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,92700,154700,0,247400,224 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604090,"7423DQ 4 13    SE-12-20-3-5    6,360 Sq. Feet",T,2,Residential,I  Individual,87300,129700,0,217000,226 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604100,"8054EK 4 14    SE-12-20-3-5    5,880 Sq. Feet",T,2,Residential,I  Individual,90600,161200,0,251800,202 Sunset Blvd. N.W.,Land    R - Residential,,2018
604105,"8054EK 4 14,15    SE-12-20-3-5    6,120 Sq. Feet",T,2,Residential,I  Individual,92500,135500,0,228000,204 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604110,"8054EK 4 15,16    SE-12-20-3-5    5,970 Sq. Feet",T,2,Residential,I  Individual,85700,164000,0,249700,206 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604120,"8054EK 4 17    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,86000,120200,0,206200,208 SUNSET BLVD. N.W.,Land    R - Residential,,2018
604130,"8054EK 4 PT18    SE-12-20-3-5    10,810 Sq. Feet",T,2,Residential,I  Individual,100800,66900,0,167700,106 HUBERT ST. N.W.,Land    R - Residential,,2018
604140,"3603FD 4 19    SE-12-20-3-5    8,270 Sq. Feet",T,2,Residential,I  Individual,117300,499800,0,617100,201 WINDSOR AVE. N.W.,Land    R - Residential,,2018
604150,"9212439 4 18A    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,86000,41300,0,127300,203 WINDSOR AVE. N.W.,Land    R - Residential,,2018
604160,"3603FD 4 20,P21    SE-12-20-3-5    6,600 Sq. Feet",T,2,Residential,I  Individual,88100,83900,0,172000,207 WINDSOR AVE. N.W.,Land    R - Residential,,2018
604170,"3603FD 4 P21,22    SE-12-20-3-5    11,280 Sq. Feet",T,2,Residential,I  Individual,101400,144300,0,245700,211 WINDSOR AVE. NW,Land    R - Residential,,2018
604180,"1178LK 4 23A    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,96400,246800,0,343200,213 WINDSOR AVE. N.W.,Land    R - Residential,,2018
604190,"1178LK 4 24A    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,96400,183100,0,279500,215 WINDSOR AVE. N.W.,Land    R - Residential,,2018
604200,"3603FD 4 26    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,86000,71600,0,157600,217 WINDSOR AVE. N.W.,Land    R - Residential,,2018
604210,"3603FD 4 27    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,86000,164900,0,250900,219 WINDSOR AVE. N.W.,Land    R - Residential,,2018
